,created_at,text,favorite_count,retweet_count,populer_text,populer_retweet,populer_favorite,Populer
517,2021-12-24 22:28:21+00:00, سؤال لمن يهمه الا ليش العماله المنزلية لما توصل يتم حجرها لمدة اسبوعين او اقل علي نفقة الكفيل بينما بقية مشجعين,0,93,False,True,False,Unknown
518,2021-12-24 22:27:50+00:00, شفتو كيف تراجع المنتخب ياوزارة الرياضة ب تصنيف اجيبو ما شاركو ب كاس عرب,0,0,False,False,False,Unknown
519,2021-12-24 22:27:28+00:00, ما لا يعلمه الكثير ان الواء صالح بن بيشة وزير الدفاع جزائر الاسبق يعود في جذوره لمحافظة بيشة بالملكة عربية السع,0,2,False,False,False,Unknown
520,2021-12-24 22:24:40+00:00,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاس ام افريقيا بالكاميرون   والتي,0,76,False,True,False,Unknown
521,2021-12-24 22:23:57+00:00, سؤال لمن يهمه الا ليش العماله المنزلية لما توصل يتم حجرها لمدة اسبوعين او اقل علي نفقة الكفيل بينما بقية مشجعين,0,93,False,True,False,Unknown
522,2021-12-24 22:23:54+00:00, لاعب كبير كاس عرب ليست مقياس لكن لو لم يكن موجود لما توجت جزائر,0,0,False,False,False,Unknown
523,2021-12-24 22:23:37+00:00, سؤال لمن يهمه الا ليش العماله المنزلية لما توصل يتم حجرها لمدة اسبوعين او اقل علي نفقة الكفيل بينما بقية مشجعين,0,93,False,True,False,Unknown
524,2021-12-24 22:23:29+00:00,   م شرفي تكريما لابطال عرب ياسين براهيمي جمال بن الع ي خلال مباراة نادي قطر الريان في الدوري القطري   الدوريال,0,101,True,True,False,Unknown
525,2021-12-24 22:22:54+00:00, بن دبكة افضل   ما قدمه في كاس عرب يؤهله لاخذ مكان له بسهولة ,0,0,False,False,False,Unknown
526,2021-12-24 22:22:40+00:00, تشكيلة متوازنه مع اعاة المتالقين في كاس عرب بلماضي اصبح يملك مفاتيح العب علي كل الاتج ,0,0,False,False,False,Unknown
527,2021-12-24 22:22:31+00:00, دينا كاس عرب  ,0,0,False,False,False,Unknown
528,2021-12-24 22:22:19+00:00,   م شرفي تكريما لابطال عرب ياسين براهيمي جمال بن الع ي خلال مباراة نادي قطر الريان في الدوري القطري   الدوريال,0,101,True,True,False,Unknown
529,2021-12-24 22:22:14+00:00,مثلما راهنت علي بلايلي قبل كاس عرب ساراهن علي ولد دواري ليكون نجم بطولة كاس افريقيا  اتمني من بلماضي يشركه كم ,23,1,False,False,True,Unknown
530,2021-12-24 22:22:03+00:00,   م شرفي من لاعبي ناديقطر و الريان لكل من ياسين براهيمي جمال بلع ي بعد فوزهما بلقب بطولة كاس عرب   ,0,17,True,False,False,Unknown
531,2021-12-24 22:21:07+00:00, كاس عرب فضح كل شي,0,0,False,False,False,Unknown
532,2021-12-24 22:20:38+00:00,   م شرفي تكريما لابطال عرب ياسين براهيمي جمال بن الع ي خلال مباراة نادي قطر الريان في الدوري القطري   الدوريال,0,101,True,True,False,Unknown
533,2021-12-24 22:19:41+00:00, فيفا يختار احمد رفعت ضمن ابرز الاعبين الذين شاركوا كاس عرب   مبدع   ,0,4,False,False,False,Unknown
534,2021-12-24 22:19:02+00:00,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاس ام افريقيا بالكاميرون   والتي,0,76,False,True,False,Unknown
535,2021-12-24 22:18:56+00:00, سؤال لمن يهمه الا ليش العماله المنزلية لما توصل يتم حجرها لمدة اسبوعين او اقل علي نفقة الكفيل بينما بقية مشجعين,0,93,False,True,False,Unknown
536,2021-12-24 22:18:44+00:00, اري بان المنتخب جزائر قادر علي الحفاظ علي لقبه خاصة وان المعنويات تفعة بعد تحقيق كاس عرب قطر,0,0,True,False,False,Unknown
537,2021-12-24 22:17:42+00:00,   م شرفي من لاعبي فريقي قطر الريان لثنائي   جزائر ياسين براهيمي جمال ب,0,122,True,True,False,Unknown
538,2021-12-24 22:17:05+00:00, لاعبا محليا وُلدوا و تكونوا في جزائر و هو ما يمثل اكثر من نصف قائمة ال و يمكن ان نضيف اليهم بن رحمة الذي ولد ف,0,4,False,False,False,Unknown
539,2021-12-24 22:17:02+00:00,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاس ام افريقيا بالكاميرون   والتي,0,76,False,True,False,Unknown
540,2021-12-24 22:15:32+00:00,   م شرفي من لاعبي فريقي قطر الريان لثنائي   جزائر ياسين براهيمي جمال ب,0,122,True,True,False,Unknown
541,2021-12-24 22:14:33+00:00,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاس ام افريقيا بالكاميرون   والتي,0,76,False,True,False,Unknown
542,2021-12-24 22:14:16+00:00,   م شرفي تكريما لابطال عرب ياسين براهيمي جمال بن الع ي خلال مباراة نادي قطر الريان في الدوري القطري   الدوريال,0,101,True,True,False,Unknown
543,2021-12-24 22:14:03+00:00, اعتقد لوشارك المنتخب السعودي بالفريق الاول في بطولة عرب لستفادخُبرة وكسب كاس البطولة مع احترامي لمن منع مشاركتة ,0,0,False,False,False,Unknown
544,2021-12-24 22:13:12+00:00,   م شرفي من لاعبي فريقي قطر الريان لثنائي   جزائر ياسين براهيمي جمال ب,0,122,True,True,False,Unknown
