,created_at,text,favorite_count,retweet_count
27,2021-12-25 10:01:54+00:00,"RT @beINSPORTS_news: ⚽️الجيل المبهر @GA4good يختتم النسخة الـ3 من مهرجان الشباب 2021 تحت شعار ""كلنا معاً"" محتفيا بالتضامن العربي، وذلك من خ…",0.0,8.0
28,2021-12-25 10:01:29+00:00,"RT @Laith_ziod: الفيفا يختار لاعب منتخبنا يزن النعيمات ضمن تقريره عن 6 نجوم اظهرتهم كاس العرب في قطر.

🇯🇴🇯🇴🇯🇴🇯🇴👏 https://t.co/bbuUy4NSdL",0.0,18.0
29,2021-12-25 09:57:32+00:00,@GoalAR يا اخي اتبع ترتيب الفيفا التي هي وصية على كرة القدم العالمية بلا ما تعمل الفتنة بمادا فاز منتخب الجزائر في… https://t.co/mPiSoasXkA,0.0,0.0
30,2021-12-25 09:56:08+00:00,@alsharq_portal انا على استعداد دعم #منتخب_قطر بالأفكار والمقترحات والتطوير في تدريب #كرة_القدم وجعل #قطر تفوز فى… https://t.co/LvquRRH8Ep,0.0,0.0
31,2021-12-25 09:53:13+00:00,@beINSPORTS_news @LesVerts @caf_online_AR تمنيت استدعاء اللاعب الشاب مزياني الذي ظهر في كاس العرب بأداء مشرف,0.0,0.0
32,2021-12-25 09:51:44+00:00,"RT @khalidaljaber: هنا أبطال العرب! 💪🏽🇩🇿💪🏽🇩🇿💪🏽🇩🇿
#الجزائر #كأس_العرب https://t.co/p5i08mqCcW",0.0,84.0
33,2021-12-25 09:50:55+00:00,"@kdi40 @GoalAR هناك لاعبين تم استدعائهم لاول مرة بسبب ادائهم الخرافي في كاس العرب
 لاعبو المنتخب الاول (الاساسيين)… https://t.co/DyWfM7xoQP",1.0,0.0
34,2021-12-25 09:50:52+00:00,RT @hsetzlernews: بالدوري القطري.. هكذا كان استقبال جمال بلمعري و ياسين براهيمي الفائزان بلقب #كأس_العرب رفقة منتخب بلادهما الجزائر...👌💪👏ht…,0.0,3.0
35,2021-12-25 09:50:49+00:00,"RT @beINSPORTS: 🇩🇿 ممر شرفي تكريما لأبطال العرب ياسين براهيمي وجمال بن العمري خلال مباراة نادي قطر والريان في الدوري القطري 🇶🇦👏

#الدوري_ال…",0.0,101.0
36,2021-12-25 09:50:28+00:00,@vivalalgerie7 يجب ان يكون الاعب صلب جدا لان منافسة كأس إفريقيا تختلف تمام على منافسات كأس العرب و لعالم ،الفرق الا… https://t.co/UN69HwVisx,0.0,0.0
37,2021-12-25 09:49:41+00:00,"RT @wada7: هل تعلم أن أقوى حضور جماهيري حتى الآن بـكأس العرب كان يوم أمس في مباراة مصر و الجزائر 🇪🇬🤝🇩🇿  

#كأس_العرب #كاس_العرب_FIFA #FIFAr…",0.0,2.0
38,2021-12-25 09:49:21+00:00,@Squipala1 @beINSPORTS_news مزلتوا في اوهامكم نورمالمون من كأس العرب تبلعوا فامكم,0.0,0.0
39,2021-12-25 09:48:38+00:00,"RT @mohamedelgazar4: #بالفيديو 🎦

ممر شرفي للثنائي الجزائري #ياسين_براهيمي و
#جمال_بلعمري أبطال #كأس_العرب خلال مباراة نادي قطر والريان في…",0.0,1.0
40,2021-12-25 09:46:39+00:00,"RT @najatfarran: ليس هناك فخرا لي مثلك يا سفيرتنا الغاليه … نفخر ونفتخر بالفنانة السعوديه المبدعه سلوى حجر 
بحصولها على الفوز في بطولة كأس…",0.0,1.0
41,2021-12-25 09:46:16+00:00,RT @vivalalgerie7: بالنسبة لمن يرى أن سعيود يستحق مكانة في القائمة 28 .. نخبره بأنه يعاني من إصابة كما نشر ناديه الطائي السعودي قبل يومين،…,0.0,7.0
42,2021-12-25 09:46:16+00:00,"RT @beINSPORTS: 🇩🇿 ممر شرفي تكريما لأبطال العرب ياسين براهيمي وجمال بن العمري خلال مباراة نادي قطر والريان في الدوري القطري 🇶🇦👏

#الدوري_ال…",0.0,101.0
43,2021-12-25 09:45:50+00:00,ياربي بس ما صدقنا كاس العرب خلص عشان نشوف الزمالك يقوم يجينا توقف ٤٥ يوم لكاس الامم ، هيوحشنا الزمالك بجد فترة هتكو… https://t.co/jmXUoU1TYZ,0.0,0.0
44,2021-12-25 09:45:49+00:00,"#بالفيديو 🎦

ممر شرفي للثنائي الجزائري #ياسين_براهيمي و
#جمال_بلعمري أبطال #كأس_العرب خلال مباراة نادي قطر والريان… https://t.co/W4RzfOwQva",23.0,1.0
45,2021-12-25 09:44:54+00:00,"RT @mmhm_86: آفه المرء اثنتان .. إلف كاس وحب كيس
والنفوس اليا بغيت تعرفها ارم الفلوس

ينكشف زيف الشعارات لا حمي الوطيس
ترجع الاذناب اذناب و…",0.0,1.0
46,2021-12-25 09:43:57+00:00,"RT @AL_kazlee313: اللهُ أكبر
شاهد مقطع الفيديو الخاص يظهر
شرطة الكيان الصهيوني يعدم شاب فلسطيني في باب العمود بمدينة القدس المحتلة
#العراق…",0.0,32.0
47,2021-12-25 09:43:48+00:00,RT @beINSPORTS_news: ⚽️ جمال بلماضي مدرب منتخب الجزائر @LesVerts 🇩🇿 يكشف عن قائمة اللاعبين المشاركين في كأس أمم إفريقيا بالكاميرون 🇨🇲 والتي…,0.0,76.0
48,2021-12-25 09:43:42+00:00,"بن دبكة الذي تألق في كأس العرب و قدم إضافة كبيرة جدا مكان بوداوي الذي يلعب في نادي نيس! 
أيهما أفضل وتراه يقدم دعما… https://t.co/DV92xMaBEb",3.0,0.0
49,2021-12-25 09:42:59+00:00,"RT @abadyqa: سؤال ..

لمن يهمه الأمر ..

ليش العماله المنزلية لما توصل يتم حجرها لمدة أسبوعين  او اقل على نفقة الكفيل ..

بينما بقية مشجعين…",0.0,93.0
50,2021-12-25 09:42:23+00:00,RT @MoroccoNews_AR: ريتويت اذا كنت متفق ان منتخب #المغرب في كرة القدم هو برازيل العرب 💪           #كاس_العرب_FIFA #كأس_العرب_قطر_2021 #كأس_…,0.0,129.0
51,2021-12-25 09:39:30+00:00,"@BendebkaS الف مبروك بتواجد مع المنتخب الأول ويعود تواجدك ضمن القائمة بالمستوى الرائع الذي قدمته ببطولة كأس العرب 
بالتوفيق ان شاء الله",0.0,0.0
52,2021-12-25 09:38:16+00:00,"RT @Syriasfootball: الموقع الرسمي لـ #كأس_العالم 2022:

-اللاعب #أوليفار_كاوسكاو من أبرز المواهب العربية القادمة والّتي أثبتت تألقها ببطولة…",0.0,1.0
53,2021-12-25 09:38:08+00:00,"الموقع الرسمي لـ #كأس_العالم 2022:

-اللاعب #أوليفار_كاوسكاو من أبرز المواهب العربية القادمة والّتي أثبتت تألقها بب… https://t.co/Rf8QAOky5o",8.0,1.0
54,2021-12-25 09:37:35+00:00,RT @MokhtalatOff: فيفا يختار أحمد رفعت ضمن أبرز اللاعبين الذين شاركوا في كأس العرب https://t.co/kuImrDV8IF,0.0,9.0
55,2021-12-25 09:37:06+00:00,RT @TamimBinHamad: أبارك للمنتخب الجزائري فوزه المستحق بكأس العرب 2021. كانت بطولة مميزة عكست تطور الكرة العربية، ونتطلّع للقائكم العام الق…,0.0,4155.0
56,2021-12-25 09:34:32+00:00,RT @beINSPORTS_news: ⚽️ جمال بلماضي مدرب منتخب الجزائر @LesVerts 🇩🇿 يكشف عن قائمة اللاعبين المشاركين في كأس أمم إفريقيا بالكاميرون 🇨🇲 والتي…,0.0,76.0
57,2021-12-25 09:33:56+00:00,"RT @abadyqa: سؤال ..

لمن يهمه الأمر ..

ليش العماله المنزلية لما توصل يتم حجرها لمدة أسبوعين  او اقل على نفقة الكفيل ..

بينما بقية مشجعين…",0.0,93.0
58,2021-12-25 09:31:17+00:00,@salamah_anas @malmahmoudy والله بجد بزعل لما الاقي منتخبات بامكانيات اقل بسنين ضوئية عن مصر بتعرف تطلع جيل ياكل ال… https://t.co/axHecBkLwh,1.0,0.0
59,2021-12-25 09:30:41+00:00,@magdybadr3 بيقلدوا فريق الجزائر الذي  أهدى كأس العرب لفلسطين  و هم و المغرب العربي أجمع لم يقدموا شيء للقضية الفلس… https://t.co/vAWNmHuWyD,0.0,0.0
60,2021-12-25 09:29:48+00:00,@wassilaoulmi كاس العرب ا,0.0,0.0
61,2021-12-25 09:29:00+00:00,"منتخب #قطر الأولى خليجيًا في تصنيف “#الفيفا” العالمي
#كأس_العرب  #كأس_العالم 

@QFA 
https://t.co/NgV2zgbS1m",0.0,0.0
62,2021-12-25 09:27:50+00:00,"RT @beINSPORTS: 🇩🇿 ممر شرفي تكريما لأبطال العرب ياسين براهيمي وجمال بن العمري خلال مباراة نادي قطر والريان في الدوري القطري 🇶🇦👏

#الدوري_ال…",0.0,101.0
63,2021-12-25 09:27:40+00:00,RT @mustafa_agha: 1️⃣الاسطورة محمد الدعيع يدافع عن قرار عدم اللعب بالفريق الأساسي في كأس العرب لأن الهدف الرئيسي هو التأهل لكأس العالم.. وم…,0.0,25.0
64,2021-12-25 09:26:55+00:00,RT @beINSPORTS_news: ⚽️ جمال بلماضي مدرب منتخب الجزائر @LesVerts 🇩🇿 يكشف عن قائمة اللاعبين المشاركين في كأس أمم إفريقيا بالكاميرون 🇨🇲 والتي…,0.0,76.0
65,2021-12-25 09:26:35+00:00,"RT @mohamedelgazar4: #خاص ✅ 

نادي #العين الإماراتي مهتم بالتعاقد مع #بدر_بانون وأكد لي أحد المصادر الخبر منذ فترة وأن المفاوضات والإتصالات…",0.0,33.0
66,2021-12-25 09:21:47+00:00,"ليس هناك فخرا لي مثلك يا سفيرتنا الغاليه … نفخر ونفتخر بالفنانة السعوديه المبدعه سلوى حجر 
بحصولها على الفوز في بطو… https://t.co/OtKr9Uz5Tv",2.0,1.0
67,2021-12-25 09:20:06+00:00,@beINSPORTS_news حظوظه قوية جدا واصبحت أقوى بعد عودة براهيمي وكذلك العديد من الاعبين من الرديف الذين اثبتو جدارتهم في كأس العرب,0.0,0.0
68,2021-12-25 09:19:29+00:00,@GoalAR افضل فريق عربي بعد الفريق الرديف الجزائري الحاصل على كاس العرب هو الفريق الجزائري الاول الحاصل على كاس افريقيا,3.0,0.0
69,2021-12-25 09:15:25+00:00,"RT @roadto2022: من النجوم الذين تألقوا في #كأس_العرب 🏆 

هل توافقون؟ ⭐️ https://t.co/y2GuCHSUxK",0.0,56.0
70,2021-12-25 09:15:16+00:00,RT @beINSPORTS_news: ⚽️ جمال بلماضي مدرب منتخب الجزائر @LesVerts 🇩🇿 يكشف عن قائمة اللاعبين المشاركين في كأس أمم إفريقيا بالكاميرون 🇨🇲 والتي…,0.0,76.0
71,2021-12-25 09:12:41+00:00,RT @MokhtalatOff: فيفا يختار أحمد رفعت ضمن أبرز اللاعبين الذين شاركوا في كأس العرب https://t.co/kuImrDV8IF,0.0,9.0
72,2021-12-25 09:09:26+00:00,"RT @KaD4gh6H8jkvxw: "" قوليا أولدي كيفاش عرفتيني أنا هو الرئيس الفعلي للجزائر؟ ""

بلايلي يرد : العالم كله يعرف أن الجزائر يسيرها العسكر.

✓…",0.0,3.0
73,2021-12-25 09:08:31+00:00,RT @ataherlaw12: @hamadlahdan سمو الشيخ جاسم بن حمد بن خليفه ال ثاني هو يستحق لقب شخصية عام 2021 م ، بعد النجاح الباهر الذي حققه في تنظيم ك…,0.0,1.0
74,2021-12-25 09:08:23+00:00,@hamadlahdan سمو الشيخ جاسم بن حمد بن خليفه ال ثاني هو يستحق لقب شخصية عام 2021 م ، بعد النجاح الباهر الذي حققه في… https://t.co/wHJPQLCSr5,7.0,1.0
75,2021-12-25 09:07:59+00:00,"RT @abadyqa: سؤال ..

لمن يهمه الأمر ..

ليش العماله المنزلية لما توصل يتم حجرها لمدة أسبوعين  او اقل على نفقة الكفيل ..

بينما بقية مشجعين…",0.0,93.0
76,2021-12-25 09:06:33+00:00,"RT @beINSPORTS: 🇩🇿 ممر شرفي تكريما لأبطال العرب ياسين براهيمي وجمال بن العمري خلال مباراة نادي قطر والريان في الدوري القطري 🇶🇦👏

#الدوري_ال…",0.0,101.0
77,2021-12-25 09:06:30+00:00,"RT @beINSPORTS: 🇩🇿 ممر شرفي تكريما لأبطال العرب ياسين براهيمي وجمال بن العمري خلال مباراة نادي قطر والريان في الدوري القطري 🇶🇦👏

#الدوري_ال…",0.0,101.0
78,2021-12-25 09:06:10+00:00,"RT @00shihan00: دحيم مايدري وش يسوي

#كاس_العرب
#سامي_الجابر
#نواف_التمياط
#الفيفا
#كاس_العالم_للاندية
#الهلال_النصر
#جخير
#چمعان
#شيهان
#م…",0.0,39.0
79,2021-12-25 09:05:15+00:00,"RT @00shihan00: مضر واصحاب المستوى الرفيع في كرة القدم @SamiAlJaber  @altemyat 

#كاس_العرب
#سامي_الجابر
#نواف_التمياط
#الفيفا
#كاس_العالم_…",0.0,78.0
80,2021-12-25 09:04:22+00:00,"نحن الكرة استبليت بنا ما نحن استبلينا بها
 وانا اشاهد ملاعب كاس العرب للي في قطر  احس فيني غصة كشخص متابع للرياضة.… https://t.co/tVC2FzMtZ8",0.0,0.0
81,2021-12-25 08:59:38+00:00,RT @beINSPORTS_news: ⚽️ جمال بلماضي مدرب منتخب الجزائر @LesVerts 🇩🇿 يكشف عن قائمة اللاعبين المشاركين في كأس أمم إفريقيا بالكاميرون 🇨🇲 والتي…,0.0,76.0
82,2021-12-25 08:58:54+00:00,"RT @beINSPORTS: 🇩🇿 ممر شرفي تكريما لأبطال العرب ياسين براهيمي وجمال بن العمري خلال مباراة نادي قطر والريان في الدوري القطري 🇶🇦👏

#الدوري_ال…",0.0,101.0
83,2021-12-25 08:57:53+00:00,"RT @Noor_sabri2019: بقمصان مطبوع عليها أعلام الدول بما فيها علم «إسرائيل»..
محمد #أبو_تريكة يغيب عن مباراة استعراضية جمعت نجوم العرب ضد نجو…",0.0,61.0
84,2021-12-25 08:57:39+00:00,RT @Noor_sabri2019: محاربو الصحراء يواصلون الانتصارات ويرفعون #كأس_العرب لأول مرة بعد أداء رائع خلال البطولة⚽🏆🎖️وفي لفته رائعه«الكأس هدية م…,0.0,39.0
85,2021-12-25 08:57:27+00:00,@NKabylienne وجهكم قلبكم كي عادت كاس العرب برك,0.0,0.0
86,2021-12-25 08:56:02+00:00,@hamadlahdan وبحكم انه كاس العرب مولود جديد لقطر بسنة 2021,0.0,0.0
87,2021-12-25 08:55:12+00:00,RT @Aabuhamar: قبل بطولة #كأس_العرب 2021، انتشر تقرير رقمي بأخطاء رقمية كارثية منها مش حاطين اسم #بشار_عبدالله اللي سجل 8 أهداف، اختراع لاع…,0.0,2.0
88,2021-12-25 08:54:50+00:00,RT @Aabuhamar: قبل بطولة #كأس_العرب 2021، انتشر تقرير رقمي بأخطاء رقمية كارثية منها مش حاطين اسم #بشار_عبدالله اللي سجل 8 أهداف، اختراع لاع…,0.0,2.0
89,2021-12-25 08:53:37+00:00,قبل بطولة #كأس_العرب 2021، انتشر تقرير رقمي بأخطاء رقمية كارثية منها مش حاطين اسم #بشار_عبدالله اللي سجل 8 أهداف، ا… https://t.co/HVb5MWivad,4.0,2.0
90,2021-12-25 08:53:30+00:00,"RT @beINSPORTS: 🇩🇿 ممر شرفي تكريما لأبطال العرب ياسين براهيمي وجمال بن العمري خلال مباراة نادي قطر والريان في الدوري القطري 🇶🇦👏

#الدوري_ال…",0.0,101.0
91,2021-12-25 08:51:09+00:00,"RT @jAKF1sV0yWcmU9m: فيما كوريا الشرقية هازين كأس العرب يدورو يتصورو معاه   الدق تم خدام 😊سمعو الجديد :
""وجهت جامعة الدول العربية مذكرة الى…",0.0,4.0
92,2021-12-25 08:47:41+00:00,"RT @beINSPORTS: 🇩🇿 ممر شرفي تكريما لأبطال العرب ياسين براهيمي وجمال بن العمري خلال مباراة نادي قطر والريان في الدوري القطري 🇶🇦👏

#الدوري_ال…",0.0,101.0
93,2021-12-25 08:47:25+00:00,"آفه المرء اثنتان .. إلف كاس وحب كيس
والنفوس اليا بغيت تعرفها ارم الفلوس

ينكشف زيف الشعارات لا حمي الوطيس
ترجع الاذ… https://t.co/OCjBHfp6bl",0.0,1.0
94,2021-12-25 08:46:42+00:00,RT @beINSPORTS_news: ⚽️ جمال بلماضي مدرب منتخب الجزائر @LesVerts 🇩🇿 يكشف عن قائمة اللاعبين المشاركين في كأس أمم إفريقيا بالكاميرون 🇨🇲 والتي…,0.0,76.0
95,2021-12-25 08:46:05+00:00,RT @El_Bilade: فرحة #بلايلي من زاوية أخرى .. #كأس_العرب https://t.co/2th2i8KOnv,0.0,63.0
96,2021-12-25 08:45:17+00:00,"RT @beINSPORTS: 🇩🇿 ممر شرفي تكريما لأبطال العرب ياسين براهيمي وجمال بن العمري خلال مباراة نادي قطر والريان في الدوري القطري 🇶🇦👏

#الدوري_ال…",0.0,101.0
97,2021-12-25 08:44:58+00:00,RT @khaledbauomy: قائمة منتخب الجزائر . جمال بلماضي مزج ما بين كاس العرب وباقي المجموعة التي تلعب معه باستمرار 💚💚 https://t.co/OBhVIZ2PRi,0.0,19.0
98,2021-12-25 08:43:57+00:00,RT @Smo__Dmx: ممر شرفي من لاعبي فريق نادي قطر والريان للثنائي ياسين براهيمي وجمال بلعمري بعد تتويجهما رفقة الجزائر بلقب كأس العرب. https://…,0.0,1.0
99,2021-12-25 08:41:51+00:00,RT @beINSPORTS_news: ⚽️ ممر شرفي من لاعبي فريقي قطر @QatarSportClub والريان @AlrayyanSC للثنائي 🇩🇿 الجزائري @LesVerts ياسين براهيمي وجمال ب…,0.0,122.0
100,2021-12-25 08:41:27+00:00,RT @Elaid7Elaid: هذه قطر التي إحتضنت كأس العرب وقريبا ستحتضن كأس العالم ، فقط كيف هو حال البلدان العربية الإفريقية التي شاركت في البطولة وخ…,0.0,3.0
101,2021-12-25 08:41:17+00:00,RT @beINSPORTS_news: ⚽️ جمال بلماضي مدرب منتخب الجزائر @LesVerts 🇩🇿 يكشف عن قائمة اللاعبين المشاركين في كأس أمم إفريقيا بالكاميرون 🇨🇲 والتي…,0.0,76.0
102,2021-12-25 08:38:36+00:00,RT @beINSPORTS_news: ⚽️ جمال بلماضي مدرب منتخب الجزائر @LesVerts 🇩🇿 يكشف عن قائمة اللاعبين المشاركين في كأس أمم إفريقيا بالكاميرون 🇨🇲 والتي…,0.0,76.0
103,2021-12-25 08:33:42+00:00,"#نادي_سباقات_الخيل #كأس_ولي_العهد
@FrusiyaClub 
سباق الخيل على كأسي سمو ولي العهد بنسخته الـ 56 - 

صحيفة نبض العرب… https://t.co/S2IqUYKv7n",0.0,0.0
104,2021-12-25 08:33:15+00:00,@Marganit_ الم غلق الحدود وقطع الغاز ،واسقاط طائرات الاطفال كاميكاز ،وزيدلهم كاس العرب ،الجزائر لا تتكلم وتسب ،الجزائر تعرف غير الميدان.,0.0,0.0
105,2021-12-25 08:32:48+00:00,RT @hsetzlernews: بالدوري القطري.. هكذا كان استقبال جمال بلمعري و ياسين براهيمي الفائزان بلقب #كأس_العرب رفقة منتخب بلادهما الجزائر...👌💪👏ht…,0.0,3.0
106,2021-12-25 08:31:27+00:00,"@AHM_LM7 @Isr_afaf_aa @GoalAR ههه علاه حابين تكذبو على رواحكم قاله نصف التشكيلة
بعض اللاعبين تألقوا في كأس العرب فت… https://t.co/Wy5W77Rc3z",0.0,0.0
107,2021-12-25 08:29:45+00:00,RT @beINSPORTS_news: ⚽️ جمال بلماضي مدرب منتخب الجزائر @LesVerts 🇩🇿 يكشف عن قائمة اللاعبين المشاركين في كأس أمم إفريقيا بالكاميرون 🇨🇲 والتي…,0.0,76.0
108,2021-12-25 08:29:30+00:00,"RT @lusailnews: #لوسيل | #انفوجرافيك

#كأس_العرب.. مكاسب تنظيمية واقتصادية https://t.co/zzum3bZFKE",0.0,3.0
109,2021-12-25 08:28:44+00:00,RT @hsetzlernews: بالدوري القطري.. هكذا كان استقبال جمال بلمعري و ياسين براهيمي الفائزان بلقب #كأس_العرب رفقة منتخب بلادهما الجزائر...👌💪👏ht…,0.0,3.0
110,2021-12-25 08:28:29+00:00,بالدوري القطري.. هكذا كان استقبال جمال بلمعري و ياسين براهيمي الفائزان بلقب #كأس_العرب رفقة منتخب بلادهما الجزائر..… https://t.co/g9hxxtpcTz,11.0,3.0
